Time,Sentiment
2019-11-21 11:31:06.810759,Positive
2019-11-21 11:31:07.878764,Neutral
2019-11-21 11:31:08.947121,Negative
2019-11-21 11:31:10.022780,Negative
2019-11-21 11:31:11.092176,Positive
2019-11-21 11:31:12.154813,Positive
2019-11-21 11:31:13.230453,Positive
2019-11-21 11:31:14.288631,Negative
2019-11-21 11:31:15.354733,Negative
2019-11-21 11:31:16.407018,Neutral
2019-11-21 11:31:17.472065,Negative
2019-11-21 11:31:18.543411,Negative
2019-11-21 11:31:19.606578,Positive
2019-11-21 11:31:20.689820,Negative
2019-11-21 11:31:21.756263,Neutral
2019-11-21 11:31:22.806625,Neutral
2019-11-21 11:31:23.856874,Neutral
2019-11-21 11:31:24.930472,Neutral
2019-11-21 11:31:25.998611,Positive
2019-11-21 11:31:27.089657,Negative
2019-11-21 11:31:28.158234,Neutral
2019-11-21 11:31:29.234614,Positive
2019-11-21 11:31:30.308557,Negative
2019-11-21 11:31:31.365926,Neutral
2019-11-21 11:31:32.409134,Negative
2019-11-21 11:31:33.497157,Positive
2019-11-21 11:31:34.587041,Neutral
2019-11-21 11:31:35.643785,Neutral
2019-11-21 11:31:36.694497,Negative
2019-11-21 11:31:37.776652,Neutral
2019-11-21 11:31:38.845437,Neutral
2019-11-21 11:31:39.934594,Positive
2019-11-21 11:31:41.013998,Neutral
2019-11-21 11:31:42.078556,Positive
2019-11-21 11:31:43.145536,Negative
2019-11-21 11:31:44.213780,Negative
2019-11-21 11:31:45.282311,Negative
2019-11-21 11:31:46.344704,Neutral
2019-11-21 11:31:47.418816,Negative
2019-11-21 11:31:48.481262,Positive
2019-11-21 11:31:49.548710,Neutral
2019-11-21 11:31:50.616033,Neutral
2019-11-21 11:31:51.682823,Positive
2019-11-21 11:31:52.768796,Negative
2019-11-21 11:31:53.832670,Positive
2019-11-21 11:31:54.908846,Negative
2019-11-21 11:31:55.966576,Positive
2019-11-21 11:31:57.033591,Positive
2019-11-21 11:31:58.100769,Negative
2019-11-21 11:31:59.150473,Negative
2019-11-21 11:32:00.238735,Negative
2019-11-21 11:32:01.301307,Negative
2019-11-21 11:32:02.367277,Negative
2019-11-21 11:32:03.434213,Neutral
2019-11-21 11:32:04.506371,Negative
2019-11-21 11:32:05.623602,Positive
2019-11-21 11:32:06.703549,Positive
2019-11-21 11:32:07.778034,Positive
Time,Sentiment
2019-11-21 11:35:38.597544,Positive
2019-11-21 11:35:39.680095,Neutral
2019-11-21 11:35:40.765781,Negative
2019-11-21 11:35:41.829532,Neutral
2019-11-21 11:35:42.894498,Positive
2019-11-21 11:35:43.984907,Neutral
2019-11-21 11:35:45.030424,Neutral
2019-11-21 11:35:46.078291,Negative
2019-11-21 11:35:47.155939,Positive
2019-11-21 11:35:48.212520,Neutral
2019-11-21 11:35:49.279473,Neutral
2019-11-21 11:35:50.326513,Positive
2019-11-21 11:35:51.398233,Negative
2019-11-21 11:35:52.477115,Negative
2019-11-21 11:35:53.555867,Positive
2019-11-21 11:35:54.616529,Neutral
2019-11-21 11:35:55.690431,Neutral
2019-11-21 11:35:56.747704,Positive
2019-11-21 11:35:57.814464,Negative
2019-11-21 11:35:58.882423,Neutral
2019-11-21 11:35:59.958412,Neutral
2019-11-21 11:36:01.004564,Positive
2019-11-21 11:36:02.066360,Positive
2019-11-21 11:36:03.132684,Neutral
2019-11-21 11:36:04.206995,Neutral
2019-11-21 11:36:05.250702,Negative
2019-11-21 11:36:06.333401,Neutral
2019-11-21 11:36:07.401617,Neutral
2019-11-21 11:36:08.471115,Positive
2019-11-21 11:36:09.536652,Positive
2019-11-21 11:36:10.604255,Positive
2019-11-21 11:36:11.701870,Positive
2019-11-21 11:36:12.780134,Positive
2019-11-21 11:36:13.836697,Positive
2019-11-21 11:36:14.906425,Neutral
2019-11-21 11:36:15.975632,Negative
2019-11-21 11:36:17.059279,Neutral
2019-11-21 11:36:18.120651,Negative
2019-11-21 11:36:19.202570,Positive
2019-11-21 11:36:20.295865,Neutral
2019-11-21 11:36:21.376038,Neutral
2019-11-21 11:36:22.438583,Neutral
2019-11-21 11:36:23.513545,Negative
2019-11-21 11:36:24.585724,Negative
